Component,Name,Start_Time,End_Time,Total_Time,Assembly_Time,Main_Assembly_Time,Transport_Time,Status,Transport_Delay
Processor,Processor_0,0,5.190086508292216,5.190086508292216,0,2,2,Success,-1.1900865082922163
Motherboard,Motherboard_3,0,9.0,9.0,3,6,2,Success,2.0
Processor,Processor_0,0,15.964707212325399,15.964707212325399,0,6,3,Success,-6.964707212325399
Processor,Processor_0,0,25.992645646874113,25.992645646874113,0,5,4,Success,-16.992645646874113
GraphicsCard,GraphicsCard_9,0,27.0,27.0,9,5,3,Success,-10.0
CoolingSystem,CoolingSystem_11,0,33.0,33.0,11,6,6,Success,-10.0
Processor,Processor_0,0,37.05797663537646,37.05797663537646,0,5,5,Success,-27.057976635376463
Processor,Processor_0,0,46.12221665109236,46.12221665109236,0,3,6,Success,-37.12221665109236
Processor,Processor_19,0,57.0,57.0,19,5,7,Success,-26.0
Processor,Processor_0,0,57.26062082722605,57.26062082722605,0,3,7,Success,-47.26062082722605
Processor,Processor_0,0,69.6374038182396,69.6374038182396,0,3,8,Success,-58.637403818239605
GraphicsCard,GraphicsCard_0,0,76.36549906071475,76.36549906071475,0,3,2,Success,-71.36549906071475
GraphicsCard,GraphicsCard_0,0,86.26334671688053,86.26334671688053,0,5,3,Success,-78.26334671688053
GraphicsCard,GraphicsCard_0,0,97.28001842667831,97.28001842667831,0,7,4,Success,-86.28001842667831
GraphicsCard,GraphicsCard_0,0,104.45517382354629,104.45517382354629,0,2,5,Success,-97.45517382354629
Box,Box_38,0,114.0,114.0,38,7,7,Success,-62.0
GraphicsCard,GraphicsCard_0,0,117.87951762986297,117.87951762986297,0,6,6,Success,-105.87951762986297
GraphicsCard,GraphicsCard_0,0,132.11539713434772,132.11539713434772,0,6,7,Success,-119.11539713434772
GraphicsCard,GraphicsCard_0,0,147.3825816923204,147.3825816923204,0,6,8,Success,-133.3825816923204
Storage,Storage_0,0,154.59917189065274,154.59917189065274,0,5,2,Success,-147.59917189065274
Storage,Storage_0,0,160.2925792050193,160.2925792050193,0,2,3,Success,-155.2925792050193
GraphicsCard,GraphicsCard_54,0,162.0,162.0,54,5,6,Success,-97.0
Storage,Storage_0,0,169.92050978682568,169.92050978682568,0,5,4,Success,-160.92050978682568
Storage,Storage_0,0,181.29569965390806,181.29569965390806,0,6,5,Success,-170.29569965390806
Storage,Storage_0,0,192.16855081000136,192.16855081000136,0,4,6,Success,-182.16855081000136
Storage,Storage_0,0,205.46469703533498,205.46469703533498,0,5,7,Success,-193.46469703533498
Storage,Storage_0,0,218.98422233207268,218.98422233207268,0,5,8,Success,-205.98422233207268
GraphicsCard,GraphicsCard_75,0,225.0,225.0,75,3,4,Success,-143.0
Box,Box_0,0,226.36366582895087,226.36366582895087,0,4,2,Success,-220.36366582895087
Box,Box_0,0,233.38870555372185,233.38870555372185,0,3,3,Success,-227.38870555372185
Box,Box_0,0,241.89048208002956,241.89048208002956,0,3,4,Success,-234.89048208002956
Box,Box_0,0,251.96260113904646,251.96260113904646,0,4,5,Success,-242.96260113904646
Box,Box_0,0,260.90470604496363,260.90470604496363,0,2,6,Success,-252.90470604496363
Box,Box_0,0,272.04745430555147,272.04745430555147,0,3,7,Success,-262.04745430555147
Box,Box_0,0,288.52581477862907,288.52581477862907,0,7,8,Success,-273.52581477862907
PowerSupply,PowerSupply_0,0,298.503133853371,298.503133853371,0,6,2,Success,-290.503133853371
PowerSupply,PowerSupply_0,0,308.555397150808,308.555397150808,0,6,3,Success,-299.555397150808
PowerSupply,PowerSupply_0,0,319.39402469696944,319.39402469696944,0,5,5,Success,-309.39402469696944
PowerSupply,PowerSupply_0,0,329.83131065066624,329.83131065066624,0,4,6,Success,-319.83131065066624
PowerSupply,PowerSupply_0,0,341.43764808227655,341.43764808227655,0,3,7,Success,-331.43764808227655
PowerSupply,PowerSupply_0,0,353.88994741253146,353.88994741253146,0,3,8,Success,-342.88994741253146
RAM,RAM_0,0,360.31183684948655,360.31183684948655,0,4,2,Success,-354.31183684948655
RAM,RAM_0,0,370.1968862376257,370.1968862376257,0,6,3,Success,-361.1968862376257
RAM,RAM_0,0,382.896953768095,382.896953768095,0,6,5,Success,-371.896953768095
RAM,RAM_0,0,395.5594095057737,395.5594095057737,0,5,6,Success,-384.5594095057737
RAM,RAM_0,0,410.0024724667087,410.0024724667087,0,5,8,Success,-397.0024724667087
Motherboard,Motherboard_0,0,415.4034371910304,415.4034371910304,0,3,2,Success,-410.4034371910304
Motherboard,Motherboard_0,0,426.3911239623,426.3911239623,0,7,3,Success,-416.3911239623
Motherboard,Motherboard_0,0,437.47334676214854,437.47334676214854,0,6,4,Success,-427.47334676214854
Motherboard,Motherboard_0,0,446.8186774007717,446.8186774007717,0,4,5,Success,-437.8186774007717
Motherboard,Motherboard_0,0,458.5582026346465,458.5582026346465,0,4,6,Success,-448.5582026346465
Motherboard,Motherboard_0,0,469.87055101141306,469.87055101141306,0,3,7,Success,-459.87055101141306
Motherboard,Motherboard_0,0,482.7243015322652,482.7243015322652,0,4,8,Success,-470.7243015322652
CoolingSystem,CoolingSystem_0,0,489.5149630784222,489.5149630784222,0,3,2,Success,-484.5149630784222
CoolingSystem,CoolingSystem_0,0,499.50855170035885,499.50855170035885,0,5,3,Success,-491.50855170035885
CoolingSystem,CoolingSystem_0,0,512.414939928363,512.414939928363,0,7,4,Success,-501.41493992836297
CoolingSystem,CoolingSystem_0,0,526.0634697571988,526.0634697571988,0,5,7,Success,-514.0634697571988
CoolingSystem,CoolingSystem_0,0,540.0003600620319,540.0003600620319,0,4,8,Success,-528.0003600620319
PowerSupply,PowerSupply_0,0,550.0333043610926,550.0333043610926,0,5,4,Success,-541.0333043610926
RAM,RAM_0,0,560.9740969199395,560.9740969199395,0,6,4,Success,-550.9740969199395
RAM,RAM_0,0,573.7752571800194,573.7752571800194,0,4,7,Success,-562.7752571800194
CoolingSystem,CoolingSystem_0,0,586.6359210006683,586.6359210006683,0,6,5,Success,-575.6359210006683
CoolingSystem,CoolingSystem_0,0,598.0960547477371,598.0960547477371,0,4,6,Success,-588.0960547477371
Processor,Processor_1,0,603.3462399537572,603.3462399537572,1,2,2,Success,-598.3462399537572
Processor,Processor_1,0,614.0028629316889,614.0028629316889,1,6,4,Success,-603.0028629316889
Processor,Processor_1,0,625.7304452344426,625.7304452344426,1,6,5,Success,-613.7304452344426
Processor,Processor_1,0,637.1654058536503,637.1654058536503,1,4,6,Success,-626.1654058536503
Processor,Processor_1,0,649.2660526976177,649.2660526976177,1,5,7,Success,-636.2660526976177
Processor,Processor_1,0,662.1784006253738,662.1784006253738,1,4,8,Success,-649.1784006253738
GraphicsCard,GraphicsCard_1,0,669.3307843496169,669.3307843496169,1,4,2,Success,-662.3307843496169
GraphicsCard,GraphicsCard_1,0,677.2576458059052,677.2576458059052,1,3,3,Success,-670.2576458059052
GraphicsCard,GraphicsCard_1,0,690.2245505340761,690.2245505340761,1,7,5,Success,-677.2245505340761
GraphicsCard,GraphicsCard_1,0,698.4553735870063,698.4553735870063,1,2,6,Success,-689.4553735870063
GraphicsCard,GraphicsCard_1,0,713.0010860765925,713.0010860765925,1,6,7,Success,-699.0010860765925
GraphicsCard,GraphicsCard_1,0,725.1374368000218,725.1374368000218,1,3,8,Success,-713.1374368000218
Storage,Storage_1,0,734.5875976258156,734.5875976258156,1,6,2,Success,-725.5875976258156
Storage,Storage_1,0,743.5115389807168,743.5115389807168,1,5,3,Success,-734.5115389807168
Storage,Storage_1,0,755.4174285621324,755.4174285621324,1,6,4,Success,-744.4174285621324
Storage,Storage_1,0,767.1318287036307,767.1318287036307,1,6,5,Success,-755.1318287036307
Storage,Storage_1,0,778.0156583602128,778.0156583602128,1,3,6,Success,-768.0156583602128
Storage,Storage_1,0,787.590678653138,787.590678653138,1,2,7,Success,-777.590678653138
Storage,Storage_1,0,800.8090002881191,800.8090002881191,1,4,8,Success,-787.8090002881191
Box,Box_1,0,808.442479093659,808.442479093659,1,4,2,Success,-801.442479093659
Box,Box_1,0,813.4928182521356,813.4928182521356,1,2,3,Success,-807.4928182521356
Box,Box_1,0,825.2935899022002,825.2935899022002,1,6,4,Success,-814.2935899022002
Box,Box_1,0,836.1925164074291,836.1925164074291,1,4,5,Success,-826.1925164074291
Box,Box_1,0,845.9060736982966,845.9060736982966,1,3,6,Success,-835.9060736982966
Box,Box_1,0,858.6567207856399,858.6567207856399,1,5,7,Success,-845.6567207856399
Box,Box_1,0,870.5107790258222,870.5107790258222,1,3,8,Success,-858.5107790258222
PowerSupply,PowerSupply_1,0,879.7208672311517,879.7208672311517,1,7,2,Success,-869.7208672311517
PowerSupply,PowerSupply_1,0,888.8459550231312,888.8459550231312,1,5,3,Success,-879.8459550231312
PowerSupply,PowerSupply_1,0,899.7422342857566,899.7422342857566,1,5,4,Success,-889.7422342857566
PowerSupply,PowerSupply_1,0,908.5047681791661,908.5047681791661,1,3,5,Success,-899.5047681791661
PowerSupply,PowerSupply_1,0,918.835307840164,918.835307840164,1,3,6,Success,-908.835307840164
PowerSupply,PowerSupply_1,0,934.3673257976147,934.3673257976147,1,7,7,Success,-919.3673257976147
PowerSupply,PowerSupply_1,0,949.0756865196223,949.0756865196223,1,6,8,Success,-934.0756865196223
RAM,RAM_1,0,958.713178484345,958.713178484345,1,6,2,Success,-949.713178484345
RAM,RAM_1,0,969.2189950310593,969.2189950310593,1,6,3,Success,-959.2189950310593
RAM,RAM_1,0,980.4335160607412,980.4335160607412,1,6,4,Success,-969.4335160607412
RAM,RAM_1,0,993.875232721426,993.875232721426,1,7,5,Success,-980.875232721426
RAM,RAM_1,0,1002.8885363224236,1002.8885363224236,1,3,6,Success,-992.8885363224236
RAM,RAM_1,0,1015.9871952075838,1015.9871952075838,1,5,7,Success,-1002.9871952075838
RAM,RAM_1,0,1027.991169583143,1027.991169583143,1,4,8,Success,-1014.9911695831429
Motherboard,Motherboard_1,0,1036.7987835865001,1036.7987835865001,1,6,2,Success,-1027.7987835865001
Motherboard,Motherboard_1,0,1043.1820259023968,1043.1820259023968,1,3,3,Success,-1036.1820259023968
Motherboard,Motherboard_1,0,1051.2254644736147,1051.2254644736147,1,4,4,Success,-1042.2254644736147
Motherboard,Motherboard_1,0,1061.683137041129,1061.683137041129,1,4,5,Success,-1051.683137041129
Motherboard,Motherboard_1,0,1074.200602398217,1074.200602398217,1,5,6,Success,-1062.200602398217
Motherboard,Motherboard_1,0,1087.5031405221678,1087.5031405221678,1,6,7,Success,-1073.5031405221678
CoolingSystem,CoolingSystem_1,0,1095.6221266063758,1095.6221266063758,1,5,2,Success,-1087.6221266063758
CoolingSystem,CoolingSystem_1,0,1106.9972284815667,1106.9972284815667,1,7,4,Success,-1094.9972284815667
CoolingSystem,CoolingSystem_1,0,1115.5287778604907,1115.5287778604907,1,2,5,Success,-1107.5287778604907
CoolingSystem,CoolingSystem_1,0,1129.3042976948154,1129.3042976948154,1,6,6,Success,-1116.3042976948154
CoolingSystem,CoolingSystem_1,0,1143.8567737217043,1143.8567737217043,1,7,7,Success,-1128.8567737217043
CoolingSystem,CoolingSystem_1,0,1158.1032778379322,1158.1032778379322,1,5,8,Success,-1144.1032778379322
Processor,Processor_2,0,1166.059156993812,1166.059156993812,2,4,2,Success,-1158.059156993812
Processor,Processor_2,0,1174.0877605899313,1174.0877605899313,2,4,3,Success,-1165.0877605899313
Processor,Processor_2,0,1181.836731476487,1181.836731476487,2,3,4,Success,-1172.836731476487
Processor,Processor_2,0,1190.2871686958697,1190.2871686958697,2,3,5,Success,-1180.2871686958697
Processor,Processor_2,0,1203.147141902882,1203.147141902882,2,6,6,Success,-1189.147141902882
Processor,Processor_2,0,1212.6918490954179,1212.6918490954179,2,2,7,Success,-1201.6918490954179
Processor,Processor_2,0,1226.0699724871122,1226.0699724871122,2,5,8,Success,-1211.0699724871122
GraphicsCard,GraphicsCard_2,0,1232.2953888744817,1232.2953888744817,2,4,2,Success,-1224.2953888744817
GraphicsCard,GraphicsCard_2,0,1240.8979162901953,1240.8979162901953,2,5,3,Success,-1230.8979162901953
GraphicsCard,GraphicsCard_2,0,1247.9996300550222,1247.9996300550222,2,2,4,Success,-1239.9996300550222
GraphicsCard,GraphicsCard_2,0,1259.8481252935494,1259.8481252935494,2,5,5,Success,-1247.8481252935494
GraphicsCard,GraphicsCard_2,0,1272.519872323076,1272.519872323076,2,5,6,Success,-1259.519872323076
GraphicsCard,GraphicsCard_2,0,1282.2400839493257,1282.2400839493257,2,2,7,Success,-1271.2400839493257
GraphicsCard,GraphicsCard_2,0,1295.462642037204,1295.462642037204,2,4,8,Success,-1281.462642037204
Storage,Storage_2,0,1302.7781095646412,1302.7781095646412,2,4,2,Success,-1294.7781095646412
Storage,Storage_2,0,1311.1873493362189,1311.1873493362189,2,5,3,Success,-1301.1873493362189
Storage,Storage_2,0,1321.6107644549154,1321.6107644549154,2,5,4,Success,-1310.6107644549154
Storage,Storage_2,0,1335.290509643961,1335.290509643961,2,7,5,Success,-1321.290509643961
Storage,Storage_2,0,1348.0666193505554,1348.0666193505554,2,6,6,Success,-1334.0666193505554
Storage,Storage_2,0,1362.3751381506002,1362.3751381506002,2,5,8,Success,-1347.3751381506002
Box,Box_2,0,1373.2093126556472,1373.2093126556472,2,7,2,Success,-1362.2093126556472
Box,Box_2,0,1380.7955952145203,1380.7955952145203,2,3,4,Success,-1371.7955952145203
Box,Box_2,0,1391.5690065030242,1391.5690065030242,2,5,5,Success,-1379.5690065030242
Box,Box_2,0,1404.7857147548784,1404.7857147548784,2,7,6,Success,-1389.7857147548784
Box,Box_2,0,1418.5660617332526,1418.5660617332526,2,6,7,Success,-1403.5660617332526
Box,Box_2,0,1433.1506205433377,1433.1506205433377,2,6,8,Success,-1417.1506205433377
PowerSupply,PowerSupply_2,0,1440.5025010062093,1440.5025010062093,2,4,2,Success,-1432.5025010062093
PowerSupply,PowerSupply_2,0,1448.1550325481135,1448.1550325481135,2,3,3,Success,-1440.1550325481135
PowerSupply,PowerSupply_2,0,1456.1835078858292,1456.1835078858292,2,2,5,Success,-1447.1835078858292
PowerSupply,PowerSupply_2,0,1469.1862032941447,1469.1862032941447,2,6,6,Success,-1455.1862032941447
PowerSupply,PowerSupply_2,0,1484.2903532341934,1484.2903532341934,2,6,8,Success,-1468.2903532341934
RAM,RAM_2,0,1492.4846606696397,1492.4846606696397,2,6,2,Success,-1482.4846606696397
RAM,RAM_2,0,1499.644097407321,1499.644097407321,2,4,3,Success,-1490.644097407321
RAM,RAM_2,0,1510.1975356621278,1510.1975356621278,2,5,4,Success,-1499.1975356621278
RAM,RAM_2,0,1521.1153161686238,1521.1153161686238,2,5,5,Success,-1509.1153161686238
RAM,RAM_2,0,1531.6013602913213,1531.6013602913213,2,4,6,Success,-1519.6013602913213
RAM,RAM_2,0,1545.076671937273,1545.076671937273,2,6,7,Success,-1530.076671937273
Motherboard,Motherboard_2,0,1554.1783441690654,1554.1783441690654,2,7,2,Success,-1543.1783441690654
Motherboard,Motherboard_2,0,1560.197508019809,1560.197508019809,2,3,3,Success,-1552.197508019809
Motherboard,Motherboard_2,0,1568.1489015303378,1568.1489015303378,2,3,4,Success,-1559.1489015303378
Motherboard,Motherboard_2,0,1577.4353151063349,1577.4353151063349,2,4,5,Success,-1566.4353151063349
Motherboard,Motherboard_2,0,1588.4042732194164,1588.4042732194164,2,3,6,Success,-1577.4042732194164
Motherboard,Motherboard_2,0,1598.6855057537216,1598.6855057537216,2,3,7,Success,-1586.6855057537216
Motherboard,Motherboard_2,0,1609.9766134667857,1609.9766134667857,2,3,8,Success,-1596.9766134667857
CoolingSystem,CoolingSystem_2,0,1618.399165235462,1618.399165235462,2,4,3,Success,-1609.399165235462
CoolingSystem,CoolingSystem_2,0,1628.0479050889212,1628.0479050889212,2,5,4,Success,-1617.0479050889212
CoolingSystem,CoolingSystem_2,0,1640.5071088206055,1640.5071088206055,2,7,5,Success,-1626.5071088206055
CoolingSystem,CoolingSystem_2,0,1653.1736591486344,1653.1736591486344,2,5,6,Success,-1640.1736591486344
CoolingSystem,CoolingSystem_2,0,1665.0573798073042,1665.0573798073042,2,4,7,Success,-1652.0573798073042
CoolingSystem,CoolingSystem_2,0,1677.6484357302588,1677.6484357302588,2,3,8,Success,-1664.6484357302588
Processor,Processor_1,0,1684.8130467755407,1684.8130467755407,1,4,3,Success,-1676.8130467755407
GraphicsCard,GraphicsCard_1,0,1693.0153627650811,1693.0153627650811,1,4,4,Success,-1684.0153627650811
Motherboard,Motherboard_1,0,1704.3285401509459,1704.3285401509459,1,3,8,Success,-1692.3285401509459
CoolingSystem,CoolingSystem_1,0,1713.9776449382773,1713.9776449382773,1,5,3,Success,-1704.9776449382773
Processor,Processor_3,0,1720.9402523845295,1720.9402523845295,3,3,2,Success,-1712.9402523845295
Processor,Processor_3,0,1730.6140793640545,1730.6140793640545,3,5,3,Success,-1719.6140793640545
Processor,Processor_3,0,1737.8698252459267,1737.8698252459267,3,2,5,Success,-1727.8698252459267
Processor,Processor_3,0,1746.9135340253092,1746.9135340253092,3,3,6,Success,-1734.9135340253092
Processor,Processor_3,0,1760.2093716497234,1760.2093716497234,3,6,7,Success,-1744.2093716497234
GraphicsCard,GraphicsCard_3,0,1768.1409083743838,1768.1409083743838,3,5,2,Success,-1758.1409083743838
GraphicsCard,GraphicsCard_3,0,1777.366253680055,1777.366253680055,3,4,4,Success,-1766.366253680055
GraphicsCard,GraphicsCard_3,0,1790.237848953132,1790.237848953132,3,6,5,Success,-1776.237848953132
GraphicsCard,GraphicsCard_3,0,1803.3318804801208,1803.3318804801208,3,5,7,Success,-1788.3318804801208
GraphicsCard,GraphicsCard_3,0,1817.830247623412,1817.830247623412,3,6,8,Success,-1800.830247623412
Storage,Storage_3,0,1824.5240240392923,1824.5240240392923,3,4,2,Success,-1815.5240240392923
Storage,Storage_3,0,1832.2606405279741,1832.2606405279741,3,4,3,Success,-1822.2606405279741
Storage,Storage_3,0,1844.938691826508,1844.938691826508,3,7,5,Success,-1829.938691826508
Storage,Storage_3,0,1854.3711165386574,1854.3711165386574,3,3,6,Success,-1842.3711165386574
Storage,Storage_3,0,1865.3085384777123,1865.3085384777123,3,3,7,Success,-1852.3085384777123
Storage,Storage_3,0,1877.296012079473,1877.296012079473,3,3,8,Success,-1863.296012079473
Box,Box_3,0,1883.7036969754058,1883.7036969754058,3,3,2,Success,-1875.7036969754058
Box,Box_3,0,1893.8833866719262,1893.8833866719262,3,6,3,Success,-1881.8833866719262
Box,Box_3,0,1903.8221964356956,1903.8221964356956,3,5,4,Success,-1891.8221964356956
Box,Box_3,0,1916.4284791043863,1916.4284791043863,3,6,5,Success,-1902.4284791043863
Box,Box_3,0,1927.2952193390613,1927.2952193390613,3,4,6,Success,-1914.2952193390613
Box,Box_3,0,1936.8855177440464,1936.8855177440464,3,2,7,Success,-1924.8855177440464
Box,Box_3,0,1949.8292851698138,1949.8292851698138,3,3,8,Success,-1935.8292851698138
PowerSupply,PowerSupply_3,0,1955.6120825260498,1955.6120825260498,3,2,2,Success,-1948.6120825260498
PowerSupply,PowerSupply_3,0,1961.828919790672,1961.828919790672,3,3,3,Success,-1952.828919790672
PowerSupply,PowerSupply_3,0,1971.6702075762807,1971.6702075762807,3,4,4,Success,-1960.6702075762807
PowerSupply,PowerSupply_3,0,1983.3522927353126,1983.3522927353126,3,6,5,Success,-1969.3522927353126
PowerSupply,PowerSupply_3,0,1996.1027380142525,1996.1027380142525,3,6,6,Success,-1981.1027380142525
PowerSupply,PowerSupply_3,0,2006.8593412311436,2006.8593412311436,3,3,7,Success,-1993.8593412311436
PowerSupply,PowerSupply_3,0,2021.2477169358333,2021.2477169358333,3,5,8,Success,-2005.2477169358333
RAM,RAM_3,0,2028.666533191584,2028.666533191584,3,4,2,Success,-2019.666533191584
RAM,RAM_3,0,2035.3306127513897,2035.3306127513897,3,2,3,Success,-2027.3306127513897
RAM,RAM_3,0,2047.39870054991,2047.39870054991,3,6,5,Success,-2033.39870054991
RAM,RAM_3,0,2058.0733672386727,2058.0733672386727,3,3,6,Success,-2046.0733672386727
RAM,RAM_3,0,2071.434079722155,2071.434079722155,3,5,7,Success,-2056.434079722155
RAM,RAM_3,0,2084.5982250658003,2084.5982250658003,3,4,8,Success,-2069.5982250658003
Motherboard,Motherboard_3,0,2093.8579564345328,2093.8579564345328,3,6,3,Success,-2081.8579564345328
Motherboard,Motherboard_3,0,2103.996283149193,2103.996283149193,3,6,4,Success,-2090.996283149193
Motherboard,Motherboard_3,0,2113.38035025742,2113.38035025742,3,3,6,Success,-2101.38035025742
Motherboard,Motherboard_3,0,2123.5249493246906,2123.5249493246906,3,2,7,Success,-2111.5249493246906
Motherboard,Motherboard_3,0,2136.0796181799697,2136.0796181799697,3,3,8,Success,-2122.0796181799697
CoolingSystem,CoolingSystem_3,0,2141.586408913044,2141.586408913044,3,3,2,Success,-2133.586408913044
CoolingSystem,CoolingSystem_3,0,2151.9062977636913,2151.9062977636913,3,6,3,Success,-2139.9062977636913
CoolingSystem,CoolingSystem_3,0,2162.1549249095774,2162.1549249095774,3,5,4,Success,-2150.1549249095774
